Time_abs/ps, Signal/nA
  2850.000,     0.059194
  2850.050,     0.054009
  2850.100,     0.044987
  2850.150,     0.035182
  2850.200,     0.030555
  2850.250,     0.022230
  2850.300,     0.017830
  2850.350,     0.011167
  2850.400,     0.007419
  2850.450,    -0.002838
  2850.500,    -0.010056
  2850.550,    -0.010564
  2850.600,    -0.012791
  2850.650,    -0.016173
  2850.700,    -0.019339
  2850.750,    -0.024951
  2850.800,    -0.036647
  2850.850,    -0.047467
  2850.900,    -0.049482
  2850.950,    -0.052266
  2851.000,    -0.066008
  2851.050,    -0.067752
  2851.100,    -0.074279
  2851.150,    -0.082007
  2851.200,    -0.094872
  2851.250,    -0.100674
  2851.300,    -0.106361
  2851.350,    -0.112925
  2851.400,    -0.118976
  2851.450,    -0.122007
  2851.500,    -0.127093
  2851.550,    -0.128280
  2851.600,    -0.135076
  2851.650,    -0.142515
  2851.700,    -0.153720
  2851.750,    -0.161022
  2851.800,    -0.163620
  2851.850,    -0.164655
  2851.900,    -0.170213
  2851.950,    -0.172852
  2852.000,    -0.173003
  2852.050,    -0.177812
  2852.100,    -0.186098
  2852.150,    -0.189212
  2852.200,    -0.185939
  2852.250,    -0.190208
  2852.300,    -0.196795
  2852.350,    -0.194253
  2852.400,    -0.199687
  2852.450,    -0.202953
  2852.500,    -0.207025
  2852.550,    -0.203897
  2852.600,    -0.200556
  2852.650,    -0.198696
  2852.700,    -0.202654
  2852.750,    -0.208128
  2852.800,    -0.210620
  2852.850,    -0.202269
  2852.900,    -0.199624
  2852.950,    -0.200285
  2853.000,    -0.198648
  2853.050,    -0.197073
  2853.100,    -0.201928
  2853.150,    -0.199570
  2853.200,    -0.204907
  2853.250,    -0.208284
  2853.300,    -0.208157
  2853.350,    -0.210649
  2853.400,    -0.204633
  2853.450,    -0.200030
  2853.500,    -0.205853
  2853.550,    -0.211799
  2853.600,    -0.212932
  2853.650,    -0.216856
  2853.700,    -0.217639
  2853.750,    -0.226607
  2853.800,    -0.230040
  2853.850,    -0.230246
  2853.900,    -0.231370
  2853.950,    -0.235890
  2854.000,    -0.238109
  2854.050,    -0.240455
  2854.100,    -0.243794
  2854.150,    -0.249791
  2854.200,    -0.255409
  2854.250,    -0.262719
  2854.300,    -0.267117
  2854.350,    -0.267976
  2854.400,    -0.269545
  2854.450,    -0.279710
  2854.500,    -0.285214
  2854.550,    -0.287527
  2854.600,    -0.290805
  2854.650,    -0.292054
  2854.700,    -0.295739
  2854.750,    -0.308767
  2854.800,    -0.318221
  2854.850,    -0.317532
  2854.900,    -0.320074
  2854.950,    -0.332757
  2855.000,    -0.331401
  2855.050,    -0.336075
  2855.100,    -0.348895
  2855.150,    -0.354020
  2855.200,    -0.359057
  2855.250,    -0.364372
  2855.300,    -0.368017
  2855.350,    -0.371987
  2855.400,    -0.378257
  2855.450,    -0.386687
  2855.500,    -0.393504
  2855.550,    -0.394473
  2855.600,    -0.394993
  2855.650,    -0.397612
  2855.700,    -0.402791
  2855.750,    -0.410448
  2855.800,    -0.413074
  2855.850,    -0.412188
  2855.900,    -0.407561
  2855.950,    -0.415861
  2856.000,    -0.419163
  2856.050,    -0.411229
  2856.100,    -0.411704
  2856.150,    -0.418690
  2856.200,    -0.423822
  2856.250,    -0.427618
  2856.300,    -0.420176
  2856.350,    -0.415094
  2856.400,    -0.414832
  2856.450,    -0.418824
  2856.500,    -0.419461
  2856.550,    -0.423116
  2856.600,    -0.432441
  2856.650,    -0.438832
  2856.700,    -0.443190
  2856.750,    -0.447755
  2856.800,    -0.443856
  2856.850,    -0.450446
  2856.900,    -0.453254
  2856.950,    -0.459986
  2857.000,    -0.462341
  2857.050,    -0.464514
  2857.100,    -0.471953
  2857.150,    -0.479102
  2857.200,    -0.497463
  2857.250,    -0.499410
  2857.300,    -0.505154
  2857.350,    -0.499907
  2857.400,    -0.499534
  2857.450,    -0.502927
  2857.500,    -0.508269
  2857.550,    -0.514243
  2857.600,    -0.518340
  2857.650,    -0.532889
  2857.700,    -0.541326
  2857.750,    -0.540502
  2857.800,    -0.543520
  2857.850,    -0.549770
  2857.900,    -0.548492
  2857.950,    -0.546241
  2858.000,    -0.543038
  2858.050,    -0.540146
  2858.100,    -0.533731
  2858.150,    -0.532727
  2858.201,    -0.533607
  2858.251,    -0.528375
  2858.301,    -0.523653
  2858.351,    -0.518335
  2858.401,    -0.515411
  2858.451,    -0.514339
  2858.501,    -0.507112
  2858.551,    -0.494189
  2858.601,    -0.482545
  2858.651,    -0.481527
  2858.701,    -0.472483
  2858.751,    -0.466568
  2858.801,    -0.457798
  2858.851,    -0.447557
  2858.901,    -0.440647
  2858.951,    -0.435911
  2859.001,    -0.432558
  2859.051,    -0.422425
  2859.101,    -0.413811
  2859.151,    -0.409372
  2859.201,    -0.407454
  2859.251,    -0.406461
  2859.301,    -0.400165
  2859.351,    -0.391883
  2859.401,    -0.387204
  2859.451,    -0.385475
  2859.501,    -0.378710
  2859.551,    -0.374391
  2859.601,    -0.372932
  2859.651,    -0.371117
  2859.701,    -0.371296
  2859.751,    -0.368542
  2859.801,    -0.371696
  2859.851,    -0.375032
  2859.901,    -0.371073
  2859.951,    -0.374090
  2860.001,    -0.376258
  2860.051,    -0.376549
  2860.101,    -0.375900
  2860.151,    -0.370746
  2860.201,    -0.378433
  2860.251,    -0.377979
  2860.301,    -0.375707
  2860.351,    -0.381722
  2860.401,    -0.387024
  2860.451,    -0.384622
  2860.501,    -0.382349
  2860.551,    -0.381150
  2860.601,    -0.389588
  2860.651,    -0.392160
  2860.701,    -0.392102
  2860.751,    -0.393117
  2860.801,    -0.399195
  2860.851,    -0.398093
  2860.901,    -0.404560
  2860.951,    -0.404966
  2861.001,    -0.401365
  2861.051,    -0.403788
