Time_abs/ps, Signal/nA
  2850.000,     0.062838
  2850.050,     0.054351
  2850.100,     0.038758
  2850.150,     0.034139
  2850.200,     0.032500
  2850.250,     0.024114
  2850.300,     0.024244
  2850.350,     0.020098
  2850.400,     0.008530
  2850.450,     0.002015
  2850.500,     0.003579
  2850.550,    -0.006126
  2850.600,    -0.015523
  2850.650,    -0.020048
  2850.700,    -0.025121
  2850.750,    -0.028928
  2850.800,    -0.045305
  2850.850,    -0.051698
  2850.900,    -0.054638
  2850.950,    -0.057779
  2851.000,    -0.070969
  2851.050,    -0.080884
  2851.100,    -0.081437
  2851.150,    -0.085243
  2851.200,    -0.099670
  2851.250,    -0.102439
  2851.300,    -0.109506
  2851.350,    -0.113899
  2851.400,    -0.112683
  2851.450,    -0.113184
  2851.500,    -0.117376
  2851.550,    -0.116082
  2851.600,    -0.116909
  2851.650,    -0.126099
  2851.700,    -0.137549
  2851.750,    -0.149011
  2851.800,    -0.152881
  2851.850,    -0.158295
  2851.900,    -0.168509
  2851.950,    -0.177044
  2852.000,    -0.179476
  2852.050,    -0.180597
  2852.100,    -0.185192
  2852.150,    -0.181296
  2852.200,    -0.190261
  2852.250,    -0.187118
  2852.300,    -0.191081
  2852.350,    -0.195279
  2852.400,    -0.201277
  2852.450,    -0.203464
  2852.500,    -0.199833
  2852.550,    -0.199783
  2852.600,    -0.204718
  2852.650,    -0.210496
  2852.700,    -0.208833
  2852.750,    -0.205886
  2852.800,    -0.205221
  2852.850,    -0.209500
  2852.900,    -0.215161
  2852.950,    -0.211746
  2853.000,    -0.214785
  2853.050,    -0.212948
  2853.100,    -0.215385
  2853.150,    -0.207701
  2853.200,    -0.208527
  2853.250,    -0.204405
  2853.300,    -0.209028
  2853.350,    -0.205280
  2853.400,    -0.207907
  2853.450,    -0.211005
  2853.500,    -0.213416
  2853.550,    -0.215758
  2853.600,    -0.212875
  2853.650,    -0.214175
  2853.700,    -0.216405
  2853.750,    -0.220047
  2853.800,    -0.218978
  2853.850,    -0.226957
  2853.900,    -0.225225
  2853.950,    -0.218756
  2854.000,    -0.224365
  2854.050,    -0.225868
  2854.100,    -0.242485
  2854.150,    -0.237183
  2854.200,    -0.238262
  2854.250,    -0.241375
  2854.300,    -0.238923
  2854.350,    -0.248082
  2854.400,    -0.253087
  2854.450,    -0.259380
  2854.500,    -0.261272
  2854.550,    -0.264382
  2854.600,    -0.266365
  2854.650,    -0.268770
  2854.700,    -0.275117
  2854.750,    -0.281123
  2854.800,    -0.289984
  2854.850,    -0.297434
  2854.900,    -0.312860
  2854.950,    -0.316918
  2855.000,    -0.317296
  2855.050,    -0.321573
  2855.100,    -0.323723
  2855.150,    -0.335956
  2855.200,    -0.342243
  2855.250,    -0.349545
  2855.300,    -0.358613
  2855.350,    -0.366251
  2855.400,    -0.361660
  2855.450,    -0.376001
  2855.500,    -0.385134
  2855.550,    -0.383980
  2855.600,    -0.381398
  2855.650,    -0.387044
  2855.700,    -0.398428
  2855.750,    -0.401199
  2855.800,    -0.399250
  2855.850,    -0.399655
  2855.900,    -0.405300
  2855.950,    -0.401982
  2856.000,    -0.398466
  2856.050,    -0.396840
  2856.100,    -0.390539
  2856.150,    -0.394756
  2856.200,    -0.396316
  2856.250,    -0.400069
  2856.300,    -0.401017
  2856.350,    -0.404118
  2856.400,    -0.410569
  2856.450,    -0.412798
  2856.500,    -0.418206
  2856.550,    -0.423853
  2856.600,    -0.425176
  2856.650,    -0.436756
  2856.700,    -0.434750
  2856.750,    -0.434048
  2856.800,    -0.438484
  2856.850,    -0.449473
  2856.900,    -0.459647
  2856.950,    -0.458672
  2857.000,    -0.468333
  2857.050,    -0.472421
  2857.100,    -0.475433
  2857.150,    -0.485051
  2857.200,    -0.490951
  2857.250,    -0.495476
  2857.300,    -0.505681
  2857.350,    -0.506607
  2857.400,    -0.513971
  2857.450,    -0.515871
  2857.500,    -0.518339
  2857.550,    -0.518124
  2857.600,    -0.518098
  2857.650,    -0.533239
  2857.700,    -0.534994
  2857.750,    -0.532256
  2857.800,    -0.534432
  2857.850,    -0.537081
  2857.900,    -0.531729
  2857.950,    -0.534672
  2858.000,    -0.540587
  2858.050,    -0.542105
  2858.100,    -0.541697
  2858.150,    -0.540132
  2858.201,    -0.529447
  2858.251,    -0.521675
  2858.301,    -0.523936
  2858.351,    -0.522204
  2858.401,    -0.513121
  2858.451,    -0.507304
  2858.501,    -0.501406
  2858.551,    -0.495410
  2858.601,    -0.495201
  2858.651,    -0.483154
  2858.701,    -0.476941
  2858.751,    -0.472193
  2858.801,    -0.466470
  2858.851,    -0.454695
  2858.901,    -0.445409
  2858.951,    -0.441326
  2859.001,    -0.433381
  2859.051,    -0.417554
  2859.101,    -0.418959
  2859.151,    -0.418929
  2859.201,    -0.408046
  2859.251,    -0.397507
  2859.301,    -0.390330
  2859.351,    -0.387775
  2859.401,    -0.389094
  2859.451,    -0.391741
  2859.501,    -0.395659
  2859.551,    -0.398880
  2859.601,    -0.405201
  2859.651,    -0.396845
  2859.701,    -0.397794
  2859.751,    -0.380085
  2859.801,    -0.358189
  2859.851,    -0.340126
  2859.901,    -0.331941
  2859.951,    -0.329542
  2860.001,    -0.331670
  2860.051,    -0.327341
  2860.101,    -0.331491
  2860.151,    -0.348719
  2860.201,    -0.365024
  2860.251,    -0.382053
  2860.301,    -0.391090
  2860.351,    -0.395638
  2860.401,    -0.391864
  2860.451,    -0.399290
  2860.501,    -0.397655
  2860.551,    -0.401883
  2860.601,    -0.408715
  2860.651,    -0.418184
  2860.701,    -0.420560
  2860.751,    -0.432266
  2860.801,    -0.445779
  2860.851,    -0.445002
  2860.901,    -0.435993
  2860.951,    -0.414744
  2861.001,    -0.385603
  2861.051,    -0.350141
  2861.101,    -0.322496
  2861.151,    -0.308242
  2861.201,    -0.309214
  2861.251,    -0.328125
  2861.301,    -0.370988
  2861.351,    -0.413759
  2861.401,    -0.442230
  2861.451,    -0.447390
  2861.501,    -0.439448
  2861.551,    -0.429377
  2861.601,    -0.413100
  2861.651,    -0.408618
  2861.701,    -0.409848
  2861.751,    -0.407958
  2861.801,    -0.403695
  2861.851,    -0.412001
  2861.901,    -0.415768
  2861.951,    -0.430635
  2862.001,    -0.439112
  2862.051,    -0.434534
  2862.101,    -0.425327
  2862.151,    -0.417733
  2862.201,    -0.398054
  2862.251,    -0.384533
  2862.301,    -0.384302
  2862.351,    -0.385196
  2862.401,    -0.379300
  2862.451,    -0.374504
  2862.501,    -0.373982
  2862.551,    -0.375605
  2862.601,    -0.377068
  2862.651,    -0.370568
  2862.701,    -0.362397
  2862.751,    -0.359636
  2862.801,    -0.364739
  2862.851,    -0.358613
  2862.901,    -0.340701
  2862.951,    -0.321108
  2863.001,    -0.311985
  2863.051,    -0.317762
  2863.101,    -0.328198
  2863.151,    -0.330431
  2863.201,    -0.329369
  2863.251,    -0.338491
  2863.301,    -0.339553
  2863.351,    -0.343723
  2863.401,    -0.347092
  2863.451,    -0.339084
  2863.501,    -0.333048
  2863.551,    -0.328450
  2863.601,    -0.318938
  2863.651,    -0.310441
  2863.701,    -0.302678
  2863.751,    -0.303911
  2863.801,    -0.296624
  2863.851,    -0.282702
  2863.901,    -0.270680
  2863.951,    -0.262787
  2864.001,    -0.256195
  2864.051,    -0.247165
  2864.101,    -0.239037
  2864.151,    -0.228583
  2864.201,    -0.213365
  2864.251,    -0.189412
  2864.301,    -0.169949
  2864.351,    -0.162153
  2864.401,    -0.155638
  2864.451,    -0.134634
  2864.501,    -0.128939
  2864.551,    -0.125309
  2864.601,    -0.128818
  2864.651,    -0.131831
  2864.701,    -0.133729
  2864.751,    -0.136945
  2864.801,    -0.131906
  2864.851,    -0.120342
  2864.901,    -0.122733
  2864.951,    -0.117014
  2865.001,    -0.104239
  2865.051,    -0.100686
  2865.101,    -0.100300
  2865.151,    -0.092079
  2865.201,    -0.088508
  2865.251,    -0.102989
  2865.301,    -0.108850
  2865.351,    -0.107836
  2865.401,    -0.108880
  2865.451,    -0.118116
  2865.501,    -0.116751
  2865.551,    -0.116807
  2865.601,    -0.133181
  2865.651,    -0.145497
  2865.701,    -0.143025
  2865.751,    -0.141303
  2865.801,    -0.151106
  2865.851,    -0.149751
  2865.901,    -0.152762
  2865.951,    -0.157248
  2866.001,    -0.155185
  2866.051,    -0.145209
  2866.101,    -0.126365
  2866.151,    -0.102819
  2866.201,    -0.066340
  2866.251,    -0.020150
  2866.301,     0.029779
  2866.351,     0.088978
  2866.401,     0.161516
  2866.451,     0.217543
  2866.501,     0.272990
  2866.551,     0.300986
  2866.601,     0.287602
  2866.651,     0.214172
  2866.701,     0.040606
  2866.751,    -0.308523
  2866.801,    -0.895991
  2866.851,    -1.824326
  2866.901,    -3.224979
  2866.951,    -5.206459
  2867.001,    -7.819890
  2867.051,   -11.050592
  2867.101,   -14.744199
